ANO;MÊS;ENERGIA_PONTA
2015;Janeiro;3030
2015;Fevereiro;2388
2015;Março;3679
2015;Abril;5850
2015;Maio;4996
2015;Junho;6077
2015;Julho;5098
2015;Agosto;2947
2015;Setembro;5689
2015;Outubro;6114
2015;Novembro;5562
2015;Dezembro;5141
2016;Janeiro;1590
2016;Fevereiro;1872
2016;Março;3805
2016;Abril;5951
2016;Maio;6234
2016;Junho;6023
2016;Julho;4988
2016;Agosto;3485
2016;Setembro;5618
2016;Outubro;5862
2016;Novembro;5392
2016;Dezembro;4772
2017;Janeiro;2066
2017;Fevereiro;2266
2017;Março;3800
2017;Abril;6290
2017;Maio;5064
2017;Junho;6353
2017;Julho;4909
2017;Agosto;3588
2017;Setembro;5275
2017;Outubro;6905
2017;Novembro;5358
2017;Dezembro;4971
2018;Janeiro;2539
2018;Fevereiro;2234
2018;Março;3411
2018;Abril;6993
2018;Maio;6186
2018;Junho;5213
2018;Julho;6036
2018;Agosto;3891
2018;Setembro;5771
2018;Outubro;6558
2018;Novembro;5637
2018;Dezembro;6092
2019;Janeiro;2869
2019;Fevereiro;2575
2019;Março;2641
2019;Abril;7214
2019;Maio;6617
2019;Junho;5993
2019;Julho;6172
2019;Agosto;3659
2019;Setembro;6770
2019;Outubro;7261
2019;Novembro;7478
2019;Dezembro;7319
2020;Janeiro;3198
2020;Fevereiro;2663
2020;Março;4273
2020;Abril;3373
2020;Maio;2086
2020;Junho;3362
